InformationFlowName,Confidentiality,Integrity,Availability,FIPSsStandard
transport order status,Moderate,Moderate,Moderate,TRUE
cv driver safety status,Moderate,High,Moderate,TRUE
commercial vehicle location data,Moderate,Moderate,Moderate,TRUE
commercial vehicle identities,Moderate,Moderate,Moderate,TRUE
trip log,Moderate,Moderate,Moderate,TRUE
route deviation alert,High,High,Moderate,TRUE
intermodal dispatch info,Moderate,Moderate,Moderate,TRUE
rest area parking request,Moderate,Moderate,Moderate,TRUE
expedited clearance registration,Moderate,Moderate,Moderate,TRUE
electronic lock data,Low,Moderate,Low,TRUE
border clearance data,Moderate,Moderate,Moderate,TRUE
container seal status,Moderate,Moderate,Moderate,TRUE
tag data,Low,Moderate,Low,TRUE
freight equipment information,Moderate,Moderate,Moderate,TRUE
trip log information,Moderate,Moderate,Moderate,TRUE
commercial vehicle parking arrival/departure times,Low,Moderate,Moderate,TRUE
cv driver information presentation,Low,Moderate,Moderate,TRUE
commercial vehicle identities,Moderate,Moderate,Moderate,TRUE
commercial vehicle location data,Moderate,Moderate,Moderate,TRUE
hazmat notification,Moderate,High,High,TRUE
hazmat notification,Moderate,High,High,TRUE
freight delivery status,Moderate,Moderate,Moderate,TRUE
on-board vehicle data,Moderate,Moderate,Moderate,TRUE
tag data,Low,Moderate,Low,TRUE
tag data,Low,Moderate,Low,TRUE
driver alert response,Moderate,Moderate,Moderate,TRUE
container pickup request,Moderate,Moderate,Moderate,TRUE
container delivery confirmation,Moderate,Moderate,Moderate,TRUE
container transfer location,Moderate,Moderate,Moderate,TRUE
container identification request,Low,Moderate,Low,TRUE
intermodal freight event information,Moderate,Moderate,Moderate,TRUE
terminal reservation,Moderate,Moderate,Moderate,TRUE
container manifest,Moderate,Moderate,Low,TRUE
freight transportation status,Moderate,Moderate,Moderate,TRUE
freight equipment information,Moderate,Moderate,Moderate,TRUE
container seal status,Moderate,Moderate,Moderate,TRUE
container manifest,Moderate,Moderate,Low,TRUE
tag data,Low,Moderate,Low,TRUE
container seal status,Moderate,Moderate,Moderate,TRUE
container manifest,Moderate,High,Moderate,TRUE
container seal status,Moderate,Moderate,Moderate,TRUE
container transfer location request,Moderate,Moderate,Moderate,TRUE
safety inspection record,Moderate,Moderate,Moderate,TRUE
on-board safety data,High,High,Moderate,TRUE
driver log,High,High,Moderate,TRUE
hazmat notification,High,High,High,TRUE
driver to fleet request,High,Moderate,Moderate,TRUE
vehicle environmental data,Low,Moderate,Moderate,TRUE
